TIME	OFI	DELTA_MID
09:36:30	145.0	1
09:36:40	445.0	2
09:36:50	-210.0	-1
09:37:00	-15.0	0
09:37:10	-305.0	-2
09:37:20	-40.0	-1
09:37:30	35.0	0
09:37:40	105.0	1
09:37:50	-35.0	0
09:38:00	-100.0	0
09:38:10	15.0	0
09:38:20	75.0	1
09:38:30	285.0	3
09:38:40	130.0	0
09:38:50	-170.0	-1
09:39:00	260.0	2
09:39:10	40.0	0
09:39:20	-20.0	0
09:39:30	0.0	0
09:39:40	-20.0	0
09:39:50	290.0	2
09:40:00	30.0	0
09:40:10	325.0	3
09:40:20	-50.0	-1
09:40:30	-175.0	-2
09:40:40	-25.0	0
09:40:50	-175.0	-2
09:41:00	205.0	2
09:41:10	80.0	1
09:41:20	155.0	2
09:41:30	-35.0	0
09:41:40	25.0	0
09:41:50	-145.0	-2
09:42:00	140.0	1
09:42:10	-95.0	-1
09:42:20	-90.0	0
09:42:30	-130.0	-1
09:42:40	-70.0	-1
09:42:50	-65.0	0
09:43:00	480.0	4
09:43:10	10.0	0
09:43:20	340.0	1
09:43:30	125.0	1
09:43:40	-270.0	-2
09:43:50	5.0	0
09:44:00	-470.0	-4
09:44:10	-265.0	-2
09:44:20	370.0	4
09:44:30	-135.0	-1
09:44:40	-190.0	-1
09:44:50	105.0	0
09:45:00	165.0	1
09:45:10	-225.0	-1
09:45:20	15.0	0
09:45:30	290.0	3
09:45:40	225.0	2
09:45:50	-105.0	-1
09:46:00	-260.0	-2
09:46:10	105.0	0
09:46:20	-95.0	-1
09:46:30	125.0	1
09:46:40	270.0	2
09:46:50	130.0	0
09:47:00	185.0	3
09:47:10	-465.0	-4
09:47:20	-30.0	0
09:47:30	-5.0	0
09:47:40	-250.0	-3
09:47:50	70.0	1
09:48:00	160.0	1
09:48:10	365.0	2
09:48:20	-10.0	-1
09:48:30	-170.0	-1
09:48:40	-185.0	-3
09:48:50	65.0	1
09:49:00	205.0	2
09:49:10	0.0	0
09:49:20	-115.0	-1
09:49:30	10.0	0
09:49:40	35.0	1
09:49:50	-360.0	-3
09:50:00	-165.0	-1
09:50:10	-140.0	-1
09:50:20	260.0	2
09:50:30	220.0	2
09:50:40	-275.0	-1
09:50:50	-180.0	-1
09:51:00	-35.0	0
09:51:10	-80.0	0
09:51:20	-70.0	-1
09:51:30	60.0	1
09:51:40	0.0	0
09:51:50	-100.0	-1
09:52:00	50.0	0
09:52:10	10.0	0
09:52:20	0.0	0
09:52:30	70.0	1
09:52:40	275.0	2
09:52:50	-15.0	0
09:53:00	-545.0	-4
09:53:10	45.0	0
09:53:20	-60.0	0
09:53:30	80.0	1
09:53:40	-110.0	0
09:53:50	215.0	1
09:54:00	10.0	1
09:54:10	-120.0	-2
09:54:20	-225.0	-1
09:54:30	0.0	0
09:54:40	-440.0	-3
09:54:50	135.0	1
09:55:00	245.0	2
09:55:10	-275.0	-2
09:55:20	-295.0	-2
09:55:30	-70.0	0
09:55:40	-90.0	-1
09:55:50	-165.0	-1
09:56:00	100.0	1
09:56:10	100.0	1
09:56:20	0.0	-1
09:56:30	85.0	1
09:56:40	345.0	3
09:56:50	290.0	2
09:57:00	160.0	1
09:57:10	255.0	1
09:57:20	-130.0	-1
09:57:30	-85.0	0
09:57:40	-20.0	0
09:57:50	5.0	0
09:58:00	105.0	0
09:58:10	180.0	1
09:58:20	-155.0	-1
09:58:30	-85.0	0
09:58:40	-50.0	0
09:58:50	235.0	1
09:59:00	130.0	1
09:59:10	-30.0	0
09:59:20	95.0	0
09:59:30	-40.0	0
09:59:40	30.0	0
09:59:50	-40.0	0
10:00:00	-35.0	-1
10:00:10	-20.0	0
10:00:20	-155.0	-1
10:00:30	30.0	0
10:00:40	-135.0	0
10:00:50	10.0	0
10:01:00	260.0	2
10:01:10	-65.0	-1
10:01:20	-150.0	0
10:01:30	65.0	1
10:01:40	50.0	0
10:01:50	510.0	2
10:02:00	0.0	0
10:02:10	-185.0	-1
10:02:20	-390.0	-2
10:02:30	150.0	1
10:02:40	60.0	0
10:02:50	5.0	0
10:03:00	0.0	0
10:03:10	30.0	1
10:03:20	940.0	2
10:03:30	-65.0	-1
10:03:40	40.0	1
10:03:50	185.0	0
10:04:00	75.0	0
10:04:10	515.0	2
10:04:20	20.0	1
10:04:30	150.0	1
10:04:40	-5.0	0
10:04:50	-20.0	0
10:05:00	240.0	1
10:05:10	45.0	0
10:05:20	-225.0	-1
10:05:30	45.0	1
10:05:40	135.0	1
10:05:50	-70.0	-1
10:06:00	-85.0	-1
10:06:10	-30.0	0
10:06:20	-25.0	0
10:06:30	-205.0	-1
10:06:40	15.0	0
10:06:50	185.0	1
10:07:00	-200.0	-1
10:07:10	-15.0	0
10:07:20	235.0	1
10:07:30	465.0	2
10:07:40	-105.0	-1
10:07:50	-20.0	0
10:08:00	250.0	2
10:08:10	95.0	1
10:08:20	475.0	3
10:08:30	-50.0	-1
10:08:40	90.0	0
10:08:50	-115.0	-1
10:09:00	95.0	1
10:09:10	-220.0	-1
10:09:20	85.0	0
10:09:30	30.0	0
10:09:40	80.0	1
10:09:50	35.0	0
10:10:00	145.0	1
10:10:10	-155.0	-1
10:10:20	-170.0	-1
10:10:30	35.0	1
10:10:40	-100.0	-1
10:10:50	-235.0	-2
10:11:00	250.0	2
10:11:10	110.0	1
10:11:20	75.0	1
10:11:30	75.0	0
10:11:40	10.0	0
10:11:50	70.0	0
10:12:00	35.0	0
10:12:10	360.0	1
10:12:20	40.0	0
10:12:30	-105.0	0
10:12:40	-5.0	0
10:12:50	-395.0	-3
10:13:00	20.0	0
10:13:10	-35.0	-1
10:13:20	20.0	0
10:13:30	-55.0	0
10:13:40	-100.0	0
